text_input,reasoning_class,validity
"If Jack is angry, then Bob is smart. Jack is angry. Is Bob smart?",Modus Ponens,Yes
"If Paul is gentle, then Ivy is rude. Paul is gentle. Is Ivy rude?",Modus Ponens,Yes
"If Alice is kind, then Sam is curious. Alice is kind. Is Sam curious?",Modus Ponens,Yes
"If Wendy is quiet, then Ivy is gentle. Wendy is quiet. Is Ivy gentle?",Modus Ponens,Yes
"If Alice is curious, then Hank is proud. Alice is curious. Is Hank proud?",Modus Ponens,Yes
"If Sam is clever, then Xander is kind. Sam is clever. Is Xander kind?",Modus Ponens,Yes
"If Victor is brave, then Hank is gentle. Victor is brave. Is Hank gentle?",Modus Ponens,Yes
"If Eve is proud, then Hank is smart. Eve is proud. Is Hank smart?",Modus Ponens,Yes
"If Bob is brave, then Mona is kind. Bob is brave. Is Mona kind?",Modus Ponens,Yes
"If Charlie is angry, then Rita is polite. Charlie is angry. Is Rita polite?",Modus Ponens,Yes
"If Diana is lazy, then Hank is clever. Diana is lazy. Is Hank clever?",Modus Ponens,Yes
"If Diana is lazy, then Bob is clever. Diana is lazy. Is Bob clever?",Modus Ponens,Yes
"If Eve is loud, then Sam is proud. Eve is loud. Is Sam proud?",Modus Ponens,Yes
"If Kara is rude, then Victor is proud. Kara is rude. Is Victor proud?",Modus Ponens,Yes
"If Sam is short, then Tina is lazy. Sam is short. Is Tina lazy?",Modus Ponens,Yes
"If Ivy is proud, then Sam is polite. Ivy is proud. Is Sam polite?",Modus Ponens,Yes
"If Uma is honest, then Kara is polite. Uma is honest. Is Kara polite?",Modus Ponens,Yes
"If Eve is rude, then Grace is tall. Eve is rude. Is Grace tall?",Modus Ponens,Yes
"If Kara is honest, then Eve is kind. Kara is honest. Is Eve kind?",Modus Ponens,Yes
"If Mona is calm, then Alice is sad. Mona is calm. Is Alice sad?",Modus Ponens,Yes
"If Ivy is brave, then Nina is clever. Ivy is brave. Is Nina clever?",Modus Ponens,Yes
"If Paul is clever, then Diana is curious. Paul is clever. Is Diana curious?",Modus Ponens,Yes
"If Victor is loud, then Bob is tall. Victor is loud. Is Bob tall?",Modus Ponens,Yes
"If Leo is angry, then Oscar is sad. Leo is angry. Is Oscar sad?",Modus Ponens,Yes
"If Wendy is polite, then Oscar is lazy. Wendy is polite. Is Oscar lazy?",Modus Ponens,Yes
"If Hank is shy, then Tina is calm. Hank is shy. Is Tina calm?",Modus Ponens,Yes
"If Nina is polite, then Rita is honest. Nina is polite. Is Rita honest?",Modus Ponens,Yes
"If Eve is brave, then Hank is loud. Eve is brave. Is Hank loud?",Modus Ponens,Yes
"If Alice is honest, then Zane is rude. Alice is honest. Is Zane rude?",Modus Ponens,Yes
"If Rita is loud, then Kara is calm. Rita is loud. Is Kara calm?",Modus Ponens,Yes
"If Quinn is tall, then Sam is curious. Quinn is tall. Is Sam curious?",Modus Ponens,Yes
"If Jack is short, then Xander is angry. Jack is short. Is Xander angry?",Modus Ponens,Yes
"If Xander is loud, then Bob is rude. Xander is loud. Is Bob rude?",Modus Ponens,Yes
"If Rita is loud, then Sam is sad. Rita is loud. Is Sam sad?",Modus Ponens,Yes
"If Frank is tall, then Paul is happy. Frank is tall. Is Paul happy?",Modus Ponens,Yes
"If Yara is quiet, then Diana is honest. Yara is quiet. Is Diana honest?",Modus Ponens,Yes
"If Ivy is curious, then Quinn is lazy. Ivy is curious. Is Quinn lazy?",Modus Ponens,Yes
"If Eve is angry, then Frank is rude. Eve is angry. Is Frank rude?",Modus Ponens,Yes
"If Zane is smart, then Mona is sad. Zane is smart. Is Mona sad?",Modus Ponens,Yes
"If Sam is honest, then Victor is kind. Sam is honest. Is Victor kind?",Modus Ponens,Yes
"If Sam is smart, then Bob is shy. Sam is smart. Is Bob shy?",Modus Ponens,Yes
"If Eve is happy, then Kara is kind. Eve is happy. Is Kara kind?",Modus Ponens,Yes
"If Kara is angry, then Tina is kind. Kara is angry. Is Tina kind?",Modus Ponens,Yes
"If Charlie is happy, then Sam is calm. Charlie is happy. Is Sam calm?",Modus Ponens,Yes
"If Nina is quiet, then Paul is clever. Nina is quiet. Is Paul clever?",Modus Ponens,Yes
"If Quinn is curious, then Diana is sad. Quinn is curious. Is Diana sad?",Modus Ponens,Yes
"If Hank is smart, then Xander is loud. Hank is smart. Is Xander loud?",Modus Ponens,Yes
"If Nina is gentle, then Alice is happy. Nina is gentle. Is Alice happy?",Modus Ponens,Yes
"If Sam is loud, then Nina is angry. Sam is loud. Is Nina angry?",Modus Ponens,Yes
"If Grace is loud, then Diana is tall. Grace is loud. Is Diana tall?",Modus Ponens,Yes
"If Eve is kind, then Xander is smart. Eve is kind. Is Xander smart?",Modus Ponens,Yes
"If Ivy is honest, then Alice is loud. Ivy is honest. Is Alice loud?",Modus Ponens,Yes
"If Grace is rude, then Eve is proud. Grace is rude. Is Eve proud?",Modus Ponens,Yes
"If Leo is brave, then Kara is kind. Leo is brave. Is Kara kind?",Modus Ponens,Yes
"If Ivy is honest, then Alice is smart. Ivy is honest. Is Alice smart?",Modus Ponens,Yes
"If Diana is proud, then Mona is gentle. Diana is proud. Is Mona gentle?",Modus Ponens,Yes
"If Ivy is proud, then Sam is rude. Ivy is proud. Is Sam rude?",Modus Ponens,Yes
"If Mona is angry, then Jack is happy. Mona is angry. Is Jack happy?",Modus Ponens,Yes
"If Grace is polite, then Uma is calm. Grace is polite. Is Uma calm?",Modus Ponens,Yes
"If Bob is gentle, then Zane is angry. Bob is gentle. Is Zane angry?",Modus Ponens,Yes
"If Rita is calm, then Wendy is clever. Rita is calm. Is Wendy clever?",Modus Ponens,Yes
"If Rita is polite, then Xander is short. Rita is polite. Is Xander short?",Modus Ponens,Yes
"If Leo is tall, then Wendy is curious. Leo is tall. Is Wendy curious?",Modus Ponens,Yes
"If Victor is brave, then Ivy is proud. Victor is brave. Is Ivy proud?",Modus Ponens,Yes
"If Xander is proud, then Frank is curious. Xander is proud. Is Frank curious?",Modus Ponens,Yes
"If Wendy is curious, then Ivy is smart. Wendy is curious. Is Ivy smart?",Modus Ponens,Yes
"If Ivy is brave, then Grace is happy. Ivy is brave. Is Grace happy?",Modus Ponens,Yes
"If Tina is sad, then Zane is clever. Tina is sad. Is Zane clever?",Modus Ponens,Yes
"If Oscar is proud, then Quinn is lazy. Oscar is proud. Is Quinn lazy?",Modus Ponens,Yes
"If Charlie is angry, then Nina is clever. Charlie is angry. Is Nina clever?",Modus Ponens,Yes
"If Rita is calm, then Grace is shy. Rita is calm. Is Grace shy?",Modus Ponens,Yes
"If Kara is lazy, then Frank is shy. Kara is lazy. Is Frank shy?",Modus Ponens,Yes
"If Eve is curious, then Victor is brave. Eve is curious. Is Victor brave?",Modus Ponens,Yes
"If Quinn is loud, then Oscar is sad. Quinn is loud. Is Oscar sad?",Modus Ponens,Yes
"If Victor is proud, then Tina is honest. Victor is proud. Is Tina honest?",Modus Ponens,Yes
"If Wendy is calm, then Diana is rude. Wendy is calm. Is Diana rude?",Modus Ponens,Yes
"If Rita is shy, then Xander is kind. Rita is shy. Is Xander kind?",Modus Ponens,Yes
"If Mona is kind, then Quinn is gentle. Mona is kind. Is Quinn gentle?",Modus Ponens,Yes
"If Hank is tall, then Paul is polite. Hank is tall. Is Paul polite?",Modus Ponens,Yes
"If Xander is quiet, then Oscar is angry. Xander is quiet. Is Oscar angry?",Modus Ponens,Yes
"If Uma is quiet, then Quinn is brave. Uma is quiet. Is Quinn brave?",Modus Ponens,Yes
"If Xander is shy, then Alice is polite. Xander is shy. Is Alice polite?",Modus Ponens,Yes
"If Wendy is calm, then Grace is gentle. Wendy is calm. Is Grace gentle?",Modus Ponens,Yes
"If Eve is rude, then Victor is proud. Eve is rude. Is Victor proud?",Modus Ponens,Yes
"If Eve is loud, then Frank is kind. Eve is loud. Is Frank kind?",Modus Ponens,Yes
"If Mona is loud, then Yara is quiet. Mona is loud. Is Yara quiet?",Modus Ponens,Yes
"If Jack is curious, then Uma is lazy. Jack is curious. Is Uma lazy?",Modus Ponens,Yes
"If Paul is curious, then Xander is gentle. Paul is curious. Is Xander gentle?",Modus Ponens,Yes
"If Sam is clever, then Oscar is happy. Sam is clever. Is Oscar happy?",Modus Ponens,Yes
"If Alice is shy, then Mona is sad. Alice is shy. Is Mona sad?",Modus Ponens,Yes
"If Xander is brave, then Mona is lazy. Xander is brave. Is Mona lazy?",Modus Ponens,Yes
"If Oscar is polite, then Xander is loud. Oscar is polite. Is Xander loud?",Modus Ponens,Yes
"If Victor is smart, then Alice is angry. Victor is smart. Is Alice angry?",Modus Ponens,Yes
"If Nina is sad, then Hank is shy. Nina is sad. Is Hank shy?",Modus Ponens,Yes
"If Yara is kind, then Jack is calm. Yara is kind. Is Jack calm?",Modus Ponens,Yes
"If Bob is kind, then Uma is happy. Bob is kind. Is Uma happy?",Modus Ponens,Yes
"If Rita is curious, then Xander is loud. Rita is curious. Is Xander loud?",Modus Ponens,Yes
"If Xander is polite, then Wendy is honest. Xander is polite. Is Wendy honest?",Modus Ponens,Yes
"If Yara is rude, then Ivy is honest. Yara is rude. Is Ivy honest?",Modus Ponens,Yes
"If Paul is kind, then Wendy is proud. Paul is kind. Is Wendy proud?",Modus Ponens,Yes
"If Leo is kind, then Frank is brave. Leo is kind. Is Frank brave?",Modus Ponens,Yes
"If Eve is proud, then Quinn is short. Eve is proud. Is Quinn short?",Modus Ponens,Yes
"If Uma is curious, then Charlie is happy. Uma is curious. Is Charlie happy?",Modus Ponens,Yes
"If Frank is honest, then Eve is brave. Frank is honest. Is Eve brave?",Modus Ponens,Yes
"If Sam is lazy, then Zane is tall. Sam is lazy. Is Zane tall?",Modus Ponens,Yes
"If Leo is angry, then Sam is gentle. Leo is angry. Is Sam gentle?",Modus Ponens,Yes
"If Zane is angry, then Paul is short. Zane is angry. Is Paul short?",Modus Ponens,Yes
"If Kara is proud, then Xander is lazy. Kara is proud. Is Xander lazy?",Modus Ponens,Yes
"If Uma is shy, then Wendy is clever. Uma is shy. Is Wendy clever?",Modus Ponens,Yes
"If Victor is quiet, then Eve is clever. Victor is quiet. Is Eve clever?",Modus Ponens,Yes
"If Bob is angry, then Uma is proud. Bob is angry. Is Uma proud?",Modus Ponens,Yes
"If Nina is shy, then Eve is tall. Nina is shy. Is Eve tall?",Modus Ponens,Yes
"If Frank is short, then Alice is angry. Frank is short. Is Alice angry?",Modus Ponens,Yes
"If Ivy is angry, then Sam is quiet. Ivy is angry. Is Sam quiet?",Modus Ponens,Yes
"If Kara is curious, then Xander is angry. Kara is curious. Is Xander angry?",Modus Ponens,Yes
"If Oscar is gentle, then Nina is clever. Oscar is gentle. Is Nina clever?",Modus Ponens,Yes
"If Wendy is curious, then Xander is honest. Wendy is curious. Is Xander honest?",Modus Ponens,Yes
"If Kara is sad, then Alice is clever. Kara is sad. Is Alice clever?",Modus Ponens,Yes
"If Nina is smart, then Xander is proud. Nina is smart. Is Xander proud?",Modus Ponens,Yes
"If Paul is tall, then Uma is clever. Paul is tall. Is Uma clever?",Modus Ponens,Yes
"If Eve is polite, then Paul is lazy. Eve is polite. Is Paul lazy?",Modus Ponens,Yes
"If Diana is kind, then Alice is loud. Diana is kind. Is Alice loud?",Modus Ponens,Yes
"If Victor is shy, then Tina is quiet. Victor is shy. Is Tina quiet?",Modus Ponens,Yes
"If Zane is tall, then Diana is short. Zane is tall. Is Diana short?",Modus Ponens,Yes
"If Sam is polite, then Uma is angry. Sam is polite. Is Uma angry?",Modus Ponens,Yes
"If Jack is calm, then Nina is loud. Jack is calm. Is Nina loud?",Modus Ponens,Yes
"If Leo is loud, then Jack is gentle. Leo is loud. Is Jack gentle?",Modus Ponens,Yes
"If Hank is honest, then Sam is loud. Hank is honest. Is Sam loud?",Modus Ponens,Yes
"If Oscar is honest, then Diana is polite. Oscar is honest. Is Diana polite?",Modus Ponens,Yes
"If Rita is proud, then Nina is loud. Rita is proud. Is Nina loud?",Modus Ponens,Yes
"If Ivy is tall, then Zane is calm. Ivy is tall. Is Zane calm?",Modus Ponens,Yes
"If Eve is shy, then Xander is sad. Eve is shy. Is Xander sad?",Modus Ponens,Yes
"If Eve is rude, then Frank is happy. Eve is rude. Is Frank happy?",Modus Ponens,Yes
"If Ivy is rude, then Tina is shy. Ivy is rude. Is Tina shy?",Modus Ponens,Yes
"If Xander is proud, then Charlie is calm. Xander is proud. Is Charlie calm?",Modus Ponens,Yes
"If Sam is kind, then Uma is happy. Sam is kind. Is Uma happy?",Modus Ponens,Yes
"If Rita is lazy, then Paul is short. Rita is lazy. Is Paul short?",Modus Ponens,Yes
"If Alice is happy, then Diana is smart. Alice is happy. Is Diana smart?",Modus Ponens,Yes
"If Yara is shy, then Zane is gentle. Yara is shy. Is Zane gentle?",Modus Ponens,Yes
"If Frank is shy, then Bob is curious. Frank is shy. Is Bob curious?",Modus Ponens,Yes
"If Bob is polite, then Zane is proud. Bob is polite. Is Zane proud?",Modus Ponens,Yes
"If Oscar is lazy, then Diana is gentle. Oscar is lazy. Is Diana gentle?",Modus Ponens,Yes
"If Diana is calm, then Leo is brave. Diana is calm. Is Leo brave?",Modus Ponens,Yes
"If Bob is brave, then Rita is tall. Bob is brave. Is Rita tall?",Modus Ponens,Yes
"If Wendy is polite, then Zane is gentle. Wendy is polite. Is Zane gentle?",Modus Ponens,Yes
"If Xander is smart, then Rita is lazy. Xander is smart. Is Rita lazy?",Modus Ponens,Yes
"If Kara is proud, then Eve is calm. Kara is proud. Is Eve calm?",Modus Ponens,Yes
"If Charlie is smart, then Uma is short. Charlie is smart. Is Uma short?",Modus Ponens,Yes
"If Rita is curious, then Frank is gentle. Rita is curious. Is Frank gentle?",Modus Ponens,Yes
"If Bob is happy, then Charlie is short. Bob is happy. Is Charlie short?",Modus Ponens,Yes
"If Wendy is clever, then Bob is brave. Wendy is clever. Is Bob brave?",Modus Ponens,Yes
"If Uma is smart, then Tina is brave. Uma is smart. Is Tina brave?",Modus Ponens,Yes
"If Nina is quiet, then Hank is rude. Nina is quiet. Is Hank rude?",Modus Ponens,Yes
"If Mona is quiet, then Charlie is happy. Mona is quiet. Is Charlie happy?",Modus Ponens,Yes
"If Jack is shy, then Zane is tall. Jack is shy. Is Zane tall?",Modus Ponens,Yes
"If Yara is rude, then Frank is short. Yara is rude. Is Frank short?",Modus Ponens,Yes
"If Alice is gentle, then Charlie is quiet. Alice is gentle. Is Charlie quiet?",Modus Ponens,Yes
"If Uma is quiet, then Ivy is calm. Uma is quiet. Is Ivy calm?",Modus Ponens,Yes
"If Sam is loud, then Zane is short. Sam is loud. Is Zane short?",Modus Ponens,Yes
"If Quinn is sad, then Mona is angry. Quinn is sad. Is Mona angry?",Modus Ponens,Yes
"If Eve is quiet, then Tina is rude. Eve is quiet. Is Tina rude?",Modus Ponens,Yes
"If Frank is smart, then Rita is calm. Frank is smart. Is Rita calm?",Modus Ponens,Yes
"If Bob is tall, then Kara is curious. Bob is tall. Is Kara curious?",Modus Ponens,Yes
"If Leo is gentle, then Mona is kind. Leo is gentle. Is Mona kind?",Modus Ponens,Yes
"If Mona is proud, then Victor is angry. Mona is proud. Is Victor angry?",Modus Ponens,Yes
"If Kara is short, then Quinn is brave. Kara is short. Is Quinn brave?",Modus Ponens,Yes
"If Paul is calm, then Hank is sad. Paul is calm. Is Hank sad?",Modus Ponens,Yes
"If Jack is quiet, then Quinn is loud. Jack is quiet. Is Quinn loud?",Modus Ponens,Yes
"If Frank is tall, then Uma is quiet. Frank is tall. Is Uma quiet?",Modus Ponens,Yes
"If Tina is proud, then Uma is clever. Tina is proud. Is Uma clever?",Modus Ponens,Yes
"If Paul is curious, then Quinn is calm. Paul is curious. Is Quinn calm?",Modus Ponens,Yes
"If Eve is calm, then Victor is smart. Eve is calm. Is Victor smart?",Modus Ponens,Yes
"If Paul is curious, then Wendy is loud. Paul is curious. Is Wendy loud?",Modus Ponens,Yes
"If Eve is proud, then Nina is short. Eve is proud. Is Nina short?",Modus Ponens,Yes
"If Xander is polite, then Mona is shy. Xander is polite. Is Mona shy?",Modus Ponens,Yes
"If Eve is shy, then Grace is quiet. Eve is shy. Is Grace quiet?",Modus Ponens,Yes
"If Uma is sad, then Grace is kind. Uma is sad. Is Grace kind?",Modus Ponens,Yes
"If Alice is short, then Bob is kind. Alice is short. Is Bob kind?",Modus Ponens,Yes
"If Ivy is smart, then Uma is lazy. Ivy is smart. Is Uma lazy?",Modus Ponens,Yes
"If Ivy is quiet, then Xander is honest. Ivy is quiet. Is Xander honest?",Modus Ponens,Yes
"If Nina is brave, then Leo is angry. Nina is brave. Is Leo angry?",Modus Ponens,Yes
"If Charlie is curious, then Diana is quiet. Charlie is curious. Is Diana quiet?",Modus Ponens,Yes
"If Zane is curious, then Uma is rude. Zane is curious. Is Uma rude?",Modus Ponens,Yes
"If Uma is happy, then Bob is loud. Uma is happy. Is Bob loud?",Modus Ponens,Yes
"If Ivy is loud, then Alice is gentle. Ivy is loud. Is Alice gentle?",Modus Ponens,Yes
"If Nina is curious, then Frank is kind. Nina is curious. Is Frank kind?",Modus Ponens,Yes
"If Ivy is loud, then Leo is gentle. Ivy is loud. Is Leo gentle?",Modus Ponens,Yes
"If Wendy is gentle, then Jack is clever. Wendy is gentle. Is Jack clever?",Modus Ponens,Yes
"If Xander is smart, then Mona is quiet. Xander is smart. Is Mona quiet?",Modus Ponens,Yes
"If Wendy is gentle, then Sam is sad. Wendy is gentle. Is Sam sad?",Modus Ponens,Yes
"If Bob is brave, then Charlie is shy. Bob is brave. Is Charlie shy?",Modus Ponens,Yes
"If Charlie is gentle, then Jack is curious. Charlie is gentle. Is Jack curious?",Modus Ponens,Yes
"If Ivy is tall, then Nina is honest. Ivy is tall. Is Nina honest?",Modus Ponens,Yes
"If Rita is shy, then Diana is proud. Rita is shy. Is Diana proud?",Modus Ponens,Yes
"If Rita is brave, then Sam is smart. Rita is brave. Is Sam smart?",Modus Ponens,Yes
"If Charlie is tall, then Wendy is honest. Charlie is tall. Is Wendy honest?",Modus Ponens,Yes
"If Wendy is tall, then Xander is kind. Wendy is tall. Is Xander kind?",Modus Ponens,Yes
"If Alice is curious, then Rita is polite. Alice is curious. Is Rita polite?",Modus Ponens,Yes
"If Diana is smart, then Quinn is angry. Diana is smart. Is Quinn angry?",Modus Ponens,Yes
"If Rita is rude, then Xander is curious. Rita is rude. Is Xander curious?",Modus Ponens,Yes
"If Xander is happy, then Oscar is shy. Xander is happy. Is Oscar shy?",Modus Ponens,Yes
"If Eve is angry, then Nina is proud. Eve is angry. Is Nina proud?",Modus Ponens,Yes
"If Grace is angry, then Mona is tall. Grace is angry. Is Mona tall?",Modus Ponens,Yes
"If Kara is short, then Zane is proud. Kara is short. Is Zane proud?",Modus Ponens,Yes
"If Rita is clever, then Hank is brave. Rita is clever. Is Hank brave?",Modus Ponens,Yes
